id;lang;name;short_description;slug;meta_title;meta_description;og_title;og_description;intro_text;og_image_alt;og_image_url
1;en;Finance Calculators;Manage personal finances, investments, loans, and business metrics effectively.;finance;Finance Calculators | Manage personal finances, investments, loan planning, and business metric evaluation.;Free finance calculators for loans, mortgages, investments, interest, taxes, pricing, profitability, depreciation, currency exchange, and business analysis. Accurate tools for personal and professional finance.;Finance Calculators for Loans, Investing, Business & Money Planning;Explore powerful finance calculators for loans, APR, mortgages, savings, investments, taxes, pricing, margins, depreciation, currency exchange, and business financial analysis.;Comprehensive finance calculators to plan loans, analyze investments, manage cash flow, calculate taxes, and make smarter personal and business financial decisions.;Financial calculators dashboard with charts, tables, and currency symbols;finance-en.png
1;ru;Финансовые калькуляторы;Расчет кредитов, ипотек, налогов и инвестиций для управления вашими финансами.;finansy;Финансовые калькуляторы;Управляйте личными финансами, инвестициями, кредитами и бизнес-показателями;Финансовые калькуляторы для кредитов, инвестиций и бизнеса;Бесплатные финансовые калькуляторы для кредитов, ипотек, инвестиций, процентов, налогов, ценообразования, рентабельности, амортизации, валютных операций и анализа бизнеса. Точные инструменты для личных и профессиональных финансов.;Панель финансовых калькуляторов с графиками, таблицами и валютными символами;Используйте мощные финансовые калькуляторы для кредитов, ставок, ипотек, сбережений, инвестиций, налогов, ценообразования, маржинальности, амортизации, валютных операций и финансового анализа бизнеса.;finansy-ru.png
1;de;Finanzrechner;Planen Sie Kredite, Investitionen und Steuern für Ihre finanzielle Zukunft.;finanzen;Finanzrechner | Kredite, Investitionen & Finanzplanung;Kostenlose Finanzrechner für Kredite, Hypotheken, Zinsen, Steuern, Margen und Abschreibungen. Präzise Tools für persönliche und geschäftliche Finanzen.;Finanzrechner für Kredite, Investitionen & Business;Nutzen Sie leistungsstarke Finanzrechner für Kredite, APR, Hypotheken, Ersparnisse, Steuern, Margen, Abschreibungen und Währungen.;Umfassende Finanzrechner zur Kreditplanung, Investitionsanalyse, Cashflow-Verwaltung, Steuerberechnung und für fundierte finanzielle Entscheidungen im privaten und geschäftlichen Bereich.;Dashboard mit Finanzrechnern, Diagrammen und Währungssymbolen;finanzen-de.png
1;es;Calculadoras Financieras;Calcule préstamos, inversiones e impuestos para su planificación financiera.;finanzas;Calculadoras Financieras | Gestión de Finanzas Personales e Inversiones;Calculadoras financieras gratuitas para préstamos, hipotecas, inversiones, impuestos, márgenes y cambio de divisas. Herramientas precisas para finanzas personales y de negocios.;Calculadoras Financieras para Préstamos, Inversión y Negocios;Explore potentes calculadoras financieras para préstamos, TAE, hipotecas, ahorros, impuestos, precios, márgenes y análisis financiero empresarial.;Calculadoras financieras completas para planificar préstamos, analizar inversiones, gestionar el flujo de caja, calcular impuestos y tomar decisiones financieras personales y empresariales más inteligentes.;Panel de calculadoras financieras con gráficos, tablas y símbolos de moneda;finanzas-es.png
1;fr;Calculatrices Financières;Calculez prêts, investissements et impôts pour une gestion financière sûre.;finances;Calculatrices Financières | Gestion, Prêts et Investissements;Calculatrices gratuites pour prêts, hypothèques, investissements, impôts, marges et amortissements. Outils précis pour les finances personnelles et professionnelles.;Calculatrices Financières pour Prêts, Investissements et Entreprise;Découvrez des calculatrices financières puissantes pour les prêts, les hypothèques, l'épargne, les impôts, les prix, les marges et l'analyse financière.;Des calculatrices financières complètes pour planifier vos prêts, analyser vos investissements, gérer votre trésorerie, calculer vos impôts et prendre de meilleures décisions financières.;Tableau de bord de calculatrices financières avec graphiques et symboles monétaires;finances-fr.png
1;it;Calcolatori Finanziari;Gestisci prestiti, investimenti e tasse per la tua pianificazione finanziaria.;finanza;Calcolatori Finanziari | Finanza Personale, Mutui e Investimenti;Calcolatori finanziari gratuiti per prestiti, mutui, investimenti, tasse, margini e ammortamenti. Strumenti precisi per la gestione finanziaria personale e aziendale.;Calcolatori Finanziari per Prestiti, Investimenti e Business;Utilizza potenti calcolatori finanziari per prestiti, TAEG, mutui, risparmi, investimenti, tasse, prezzi e analisi aziendale.;Calcolatori finanziari completi per pianificare prestiti, analizzare investimenti, gestire il flusso di cassa, calcolare le tasse e prendere decisioni finanziarie più intelligenti.;Dashboard di calcolatori finanziari con grafici, tabelle e simboli di valuta;finanza-it.png
1;pl;Kalkulatory Finansowe;Obliczaj kredyty, inwestycje i podatki dla lepszego zarządzania finansami.;finanse;Kalkulatory Finansowe | Finanse Osobiste, Kredyty i Inwestycje;Darmowe kalkulatory finansowe: kredyty, hipoteki, inwestycje, podatki, marże i amortyzacja. Precyzyjne narzędzia do analizy finansów osobistych i firmowych.;Kalkulatory Finansowe: Kredyty, Inwestycje i Biznes;Odkryj potężne kalkulatory finansowe do kredytów, RRSO, hipotek, oszczędności, podatków, wyceny, marż i analizy finansowej firmy.;Kompleksowe kalkulatory finansowe do planowania kredytów, analizy inwestycji, zarządzania przepływami pieniężnymi, obliczania podatków i podejmowania mądrzejszych decyzji finansowych.;Panel kalkulatorów finansowych z wykresami, tabelami i symbolami walut;finanse-pl.png
1;lv;Finanšu kalkulatori;Aprēķiniet kredītus, investīcijas un nodokļus precīzai finanšu plānošanai.;finanses;Finanšu kalkulatori | Personīgās finanses, kredīti un investīcijas;Bezmaksas finanšu kalkulatori kredītiem, hipotekārajiem kredītiem, investīcijām, nodokļiem un biznesam. Precīzi rīki personīgo un uzņēmuma finanšu pārvaldībai.;Finanšu kalkulatori kredītiem, investīcijām un biznesa plānošanai;Izmantojiet jaudīgus kalkulatorus kredītiem, GPL, hipotēkām, uzkrājumiem, nodokļiem, cenu noteikšanai, peļņas normai un valūtas maiņai.;Visaptveroši finanšu kalkulatori kredītu plānošanai, investīciju analīzei, naudas plūsmas pārvaldībai, nodokļu aprēķināšanai un pārdomātu finanšu lēmumu pieņemšanai.;Finanšu kalkulatoru panelis ar grafikiem, tabulām un valūtu simboliem;finanses-lv.png
2;en;Health & Fitness Calculators;Track BMI, heart rate, calories, and pace for better health and fitness goals.;health-fitness;Health & Fitness Calculators | BMI, Heart Rate, Pace, Nutrition & Training Tools;Free health and fitness calculators to track BMI, heart rate zones, running pace, nutrition, body composition, sleep, and training performance. Accurate tools for everyday health and athletic goals.;Health & Fitness Calculators for Training, Nutrition & Well-Being;Explore smart health and fitness calculators for BMI, heart rate zones, running pace, race prediction, nutrition planning, sleep recovery, and body composition tracking.;All-in-one health and fitness calculators to measure, plan, and improve your body, training, and recovery - from BMI and heart rate zones to pace, nutrition, and sleep.;Health and fitness calculators dashboard with charts and metrics;health-fitness-en.png
2;ru;Калькуляторы здоровья и фитнеса;Расчет ИМТ, пульса, калорий и темпа для контроля здоровья и эффективности спорта.;zdorovie-fitnes;Калькуляторы здоровья и фитнеса;BMI, пульс, темп, питание и тренировки;Калькуляторы здоровья и фитнеса для тренировок, питания и самочувствия;Бесплатные калькуляторы здоровья и фитнеса для отслеживания BMI, зон пульса, темпа бега, питания, состава тела, сна и результатов тренировок. Точные инструменты для поддержания здоровья и спортивных целей.;Панель калькуляторов здоровья и фитнеса с графиками и метриками;Используйте умные калькуляторы здоровья и фитнеса для расчета BMI, зон пульса, темпа бега, прогнозирования результатов, планирования питания, контроля сна и состава тела.;zdorovie-fitnes-ru.png
